Date,Mentions of 'War'
2021-01-22,2
2021-01-21,5
2021-01-20,7
2021-01-19,4
2021-01-17,5
2021-01-16,12
2021-01-15,6
2021-01-14,4
2021-01-13,5
2021-01-12,10
2021-01-11,5
2021-01-10,4
2021-01-09,8
2021-01-08,10
2021-01-07,7
2021-01-06,4
2021-01-05,5
2021-01-04,5
2021-01-03,8
2021-01-02,3
