Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,87.37999725341797,87.77999877929688,85.62999725341797,85.9800033569336,84.01834106445312,1121900
2021-01-05,85.79000091552734,87.02999877929688,85.05999755859375,86.66000366210938,84.68283081054688,1123700
2021-01-06,86.44000244140625,89.7300033569336,85.27999877929688,88.69000244140625,86.66651153564453,1381100
2021-01-07,88.58000183105469,91.02999877929688,87.80999755859375,90.8499984741211,88.7772216796875,1224400
2021-01-08,90.6500015258789,92.54000091552734,90.37000274658203,91.5999984741211,89.51011657714844,895000
2021-01-11,90.9800033569336,92.41999816894531,90.55000305175781,91.38999938964844,89.3049087524414,723400
2021-01-12,91.48999786376953,92.91999816894531,91.08000183105469,92.69000244140625,90.57524871826172,800300
2021-01-13,92.77999877929688,93.20999908447266,91.0999984741211,91.36000061035156,89.27558135986328,1066100
2021-01-14,91.36000061035156,92.7699966430664,90.75,91.45999908447266,89.3733139038086,647400
2021-01-15,91.45999908447266,92.25,90.80000305175781,92.18000030517578,90.0768814086914,579500
2021-01-19,92.69000244140625,94.04000091552734,92.51000213623047,93.9000015258789,91.75764465332031,562000
2021-01-20,94.0,95.72000122070312,93.93000030517578,95.0,92.8325424194336,679200
2021-01-21,94.9800033569336,95.52999877929688,94.22000122070312,94.79000091552734,92.6273422241211,691800
2021-01-22,94.66999816894531,96.02999877929688,94.5,95.93000030517578,93.7413330078125,568900
2021-01-25,96.55000305175781,98.30000305175781,96.2699966430664,97.55999755859375,95.33413696289062,1081400
2021-01-26,98.0,98.43000030517578,97.2699966430664,97.83999633789062,95.60774993896484,834500
2021-01-27,97.12999725341797,100.26000213623047,96.29000091552734,97.56999969482422,95.34391021728516,1492500
2021-01-28,97.69000244140625,98.18000030517578,95.12999725341797,95.4000015258789,93.22342681884766,1253100
2021-01-29,91.25,91.44999694824219,84.88999938964844,85.16999816894531,83.22682189941406,2986600
2021-02-01,85.41000366210938,85.87000274658203,81.80999755859375,83.75,81.83922576904297,2411800
2021-02-02,83.94999694824219,84.30999755859375,81.83000183105469,83.38999938964844,81.48743438720703,2265200
2021-02-03,83.5999984741211,83.70999908447266,80.6500015258789,81.83000183105469,79.96302032470703,1813900
2021-02-04,82.0,83.5999984741211,81.2300033569336,83.4000015258789,81.49720001220703,1428600
2021-02-05,83.5,83.80999755859375,81.5999984741211,82.08999633789062,80.21708679199219,1119300
2021-02-08,82.1500015258789,82.5199966430664,81.05999755859375,81.94999694824219,80.08028411865234,1169500
2021-02-09,82.0,83.66999816894531,81.73999786376953,83.16000366210938,81.26268005371094,798300
2021-02-10,83.30999755859375,83.86000061035156,82.5,83.54000091552734,81.6340103149414,1008700
2021-02-11,83.44000244140625,84.7300033569336,83.41000366210938,84.58999633789062,83.02778625488281,915900
2021-02-12,84.5199966430664,84.83999633789062,82.08999633789062,82.58999633789062,81.0647201538086,622300
2021-02-16,82.9000015258789,83.0,80.91000366210938,81.2300033569336,79.7298355102539,728400
2021-02-17,80.55000305175781,81.0999984741211,79.5199966430664,80.69999694824219,79.20962524414062,906000
2021-02-18,80.33999633789062,80.66999816894531,79.12999725341797,79.62999725341797,78.15938568115234,2761200
2021-02-19,79.9800033569336,80.0,78.25,78.70999908447266,77.2563705444336,1650700
2021-02-22,78.38999938964844,78.69999694824219,77.08000183105469,77.2699966430664,75.84297180175781,1043200
2021-02-23,77.0999984741211,77.3499984741211,75.1500015258789,76.95999908447266,75.5386962890625,1844800
